City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current description,Rain inches(last 3 hrs),Snow inches(last 3 hrs)
0,Tevriz,57.509,72.4042,5.13,93,100,6.53,RU,2021-01-16 01:09:30,overcast clouds,0,0
1,Nanortalik,60.1432,-45.2371,25.9,94,99,9.37,GL,2021-01-16 01:09:31,overcast clouds,0,0
2,Hilo,19.7297,-155.09,82.4,57,20,13.8,US,2021-01-16 01:09:31,few clouds,0,0
3,Port Macquarie,-31.4333,152.9167,82.99,31,0,1.99,AU,2021-01-16 01:09:31,clear sky,0,0
4,Vaini,-21.2,-175.2,87.8,74,75,11.5,TO,2021-01-16 01:09:31,broken clouds,0,0
5,Canutama,-6.5339,-64.3831,74.61,91,100,1.66,BR,2021-01-16 01:09:31,overcast clouds,0,0
6,Ushuaia,-54.8,-68.3,62.6,51,40,10.36,AR,2021-01-16 01:08:44,scattered clouds,0,0
7,Ponta Do Sol,32.6667,-17.1,52.0,63,16,5.01,PT,2021-01-16 01:09:31,few clouds,0,0
8,Esfarayen,37.0765,57.5101,33.8,47,0,2.04,IR,2021-01-16 01:09:31,clear sky,0,0
9,Jamestown,42.097,-79.2353,37.0,100,90,10.36,US,2021-01-16 01:09:31,overcast clouds,0,0
10,Kapaa,22.0752,-159.319,78.01,88,90,4.61,US,2021-01-16 01:09:31,light rain,0,0
11,Nikolskoye,59.7035,30.7861,1.0,84,20,4.47,RU,2021-01-16 01:09:31,few clouds,0,0
12,Key Largo,25.0865,-80.4473,71.01,76,98,9.37,US,2021-01-16 01:06:10,overcast clouds,0,0
13,Vardo,70.3705,31.1107,35.22,95,100,14.58,NO,2021-01-16 01:09:32,light snow,0,0
14,Yerofey Pavlovich,53.9667,121.9667,-17.91,87,100,0.69,RU,2021-01-16 01:09:32,overcast clouds,0,0
15,Rikitea,-23.1203,-134.9692,79.68,66,0,8.1,PF,2021-01-16 01:09:32,clear sky,0,0
16,Mount Isa,-20.7333,139.5,95.0,20,4,12.66,AU,2021-01-16 01:09:32,clear sky,0,0
17,Halifax,44.6453,-63.5724,30.2,80,0,4.61,CA,2021-01-16 01:05:43,clear sky,0,0
18,Miyako,39.6367,141.9525,46.2,74,100,7.83,JP,2021-01-16 01:09:32,overcast clouds,0,0
19,Qaanaaq,77.484,-69.3632,9.77,92,99,2.33,GL,2021-01-16 01:09:32,overcast clouds,0,0
20,Cap Malheureux,-19.9842,57.6142,80.01,84,95,4.0,MU,2021-01-16 01:09:32,overcast clouds,0,0
21,Hermanus,-34.4187,19.2345,57.99,91,3,10.96,ZA,2021-01-16 01:09:32,clear sky,0,0
22,Forbes,-33.3833,148.0167,69.98,23,0,11.43,AU,2021-01-16 01:09:32,clear sky,0,0
23,Kodiak,57.79,-152.4072,35.6,87,90,2.91,US,2021-01-16 01:09:32,overcast clouds,0,0
24,Klaksvik,62.2266,-6.589,42.8,81,75,31.07,FO,2021-01-16 01:09:33,broken clouds,0,0
25,Barcelos,41.5388,-8.6151,44.01,100,20,2.3,PT,2021-01-16 01:09:10,few clouds,0,0
26,Victoria Falls,-17.9235,25.843,69.35,92,100,6.04,ZW,2021-01-16 01:09:33,overcast clouds,0,0
27,Souillac,-20.5167,57.5167,78.8,94,40,4.61,MU,2021-01-16 01:09:33,scattered clouds,0,0
28,Butaritari,3.0707,172.7902,81.28,78,0,21.0,KI,2021-01-16 01:09:33,clear sky,0,0
