City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
2,Hilo,US,82.4,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
3,Port Macquarie,AU,82.99,clear sky,-31.4333,152.9167,Rydges Port Macquarie
4,Vaini,TO,87.8,broken clouds,-21.2,-175.2,Keleti Beach Resort
5,Canutama,BR,74.61,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
10,Kapaa,US,78.01,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
12,Key Largo,US,71.01,overcast clouds,25.0865,-80.4473,Bayside Inn Key Largo
15,Rikitea,PF,79.68,clear sky,-23.1203,-134.9692,Pension Maro'i
16,Mount Isa,AU,95.0,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
20,Cap Malheureux,MU,80.01,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
27,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
28,Butaritari,KI,81.28,clear sky,3.0707,172.7902,Isles Sunset Lodge
29,Kiunga,PG,88.39,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
32,Puerto Cabezas,NI,74.71,clear sky,14.0351,-83.3888,Hotel Caribe
34,Bluff,NZ,73.0,few clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
35,Arraial Do Cabo,BR,76.06,clear sky,-22.9661,-42.0278,Pousada Porto Praia
37,Mataura,NZ,73.0,clear sky,-46.1927,168.8643,Ellie's Villa
38,Sechura,PE,71.94,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
41,Mahebourg,MU,78.8,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
43,Mogadishu,SO,76.33,clear sky,2.0371,45.3438,Hotel Juba
51,Busselton,AU,70.0,clear sky,-33.65,115.3333,Observatory Guest House
60,Yenagoa,NG,75.79,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
63,Geraldton,AU,89.6,clear sky,-28.7667,114.6,Broadwater Mariner Resort
65,Saint-Philippe,RE,77.0,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
67,Faanui,PF,81.54,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
68,East London,ZA,71.62,clear sky,-33.0153,27.9116,Tu Casa
71,Saint-Georges,GD,78.8,broken clouds,12.0564,-61.7485,Siesta Hotel
72,Sumbe,AO,73.53,scattered clouds,-11.2061,13.8437,Hotel Ritz Sumbe
73,Ahipara,NZ,72.63,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
80,Moss Vale,AU,71.01,clear sky,-34.55,150.3833,Peppers Manor House
83,Cabo San Lucas,MX,73.4,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
84,Ugoofaaru,MV,80.78,scattered clouds,5.6667,73.0,Ungoofaaru Inn
85,Werda,BW,76.6,overcast clouds,-25.2667,23.2833,
86,Georgetown,MY,78.8,few clouds,5.4112,100.3354,Cititel Penang
89,Puerto Ayora,EC,75.0,overcast clouds,-0.7393,-90.3518,Castillo Galapagos
91,Acajutla,SV,82.4,few clouds,13.5928,-89.8275,asi es
92,Mar Del Plata,AR,72.0,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
93,Kieta,PG,86.72,overcast clouds,-6.2167,155.6333,
95,Atuona,PF,77.61,clear sky,-9.8,-139.0333,Villa Enata
100,Richards Bay,ZA,77.43,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
102,Samarai,PG,86.38,light rain,-10.6167,150.6667,Nuli Sapi
104,Tamandare,BR,76.51,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
108,Avarua,CK,86.0,few clouds,-21.2078,-159.775,Paradise Inn
109,Saint-Pierre,RE,77.0,few clouds,-21.3393,55.4781,Lindsey Hôtel
119,Coahuayana,MX,75.2,scattered clouds,18.7333,-103.6833,Hotel Los Arcos
125,Maldonado,UY,78.01,heavy intensity rain,-34.6667,-54.9167,La Cimarrona
127,Manokwari,ID,84.15,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
130,Bengkulu,ID,77.92,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
131,San Alfonso,PH,82.87,light rain,7.7803,126.4203,Edar's Place
138,Camopi,GF,72.27,overcast clouds,3.1655,-52.3158,
143,Pirapora,BR,70.92,overcast clouds,-17.345,-44.9419,Santos Palace Hotel
146,Carnarvon,AU,82.4,clear sky,-24.8667,113.6333,Hospitality Carnarvon
148,Le Vauclin,MQ,77.0,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
150,Nova Vicosa,BR,76.12,light rain,-17.8919,-39.3719,Pousada Porto do Sol
152,Vao,NC,78.73,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
154,Morant Bay,JM,80.6,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
158,Buta,CD,70.59,few clouds,2.7858,24.73,HOTEL BISO NA BISO
159,Dingle,PH,80.64,light rain,10.9995,122.6711,SEGAYA PROPERTY
160,Carauari,BR,75.0,overcast clouds,-4.8828,-66.8958,Hotel Fellip
163,Payakumbuh,ID,71.67,overcast clouds,-0.2202,100.6308,OYO 3114 Homestay Dalimo
165,Harper,LR,77.81,scattered clouds,4.375,-7.7169,Screensaver
166,Yeppoon,AU,87.8,few clouds,-23.1333,150.7333,Villa Mar Colina
168,Miramar,US,71.6,clear sky,25.9873,-80.2323,Stadium Hotel
175,Puerto Escondido,MX,77.0,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
176,Alta Floresta,BR,72.43,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
177,Chirongui,YT,78.8,clear sky,-12.9319,45.1483,La Villa Mahatsara
181,Bulolo,PG,87.33,overcast clouds,-7.2,146.65,Pine Lodge Bulolo
182,Moree,AU,77.0,broken clouds,-29.4667,149.85,Molika Springs Motel
193,Mangaluru,IN,77.0,broken clouds,12.8667,74.8833,Goldfinch Mangaluru
196,Cabedelo,BR,77.0,few clouds,-6.9811,-34.8339,Hotel Pigalle
199,Hervey Bay,AU,88.0,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
209,Balaipungut,ID,75.2,haze,1.05,101.2833,
217,Kavaratti,IN,81.82,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
220,Mamburao,PH,81.9,clear sky,13.25,120.6667,Navigator's Farm Resort
228,Kununurra,AU,91.4,scattered clouds,-15.7667,128.7333,Hotel Kununurra
230,Ambon,ID,86.0,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
231,Mogapi,BW,71.22,overcast clouds,-22.323,27.8349,
233,Buchanan,LR,77.0,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
235,Bosaso,SO,73.38,few clouds,11.2842,49.1816,Red Sea Hotel
236,Salalah,OM,73.4,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL
237,Kavieng,PG,76.12,moderate rain,-2.5744,150.7967,Nusa Island Retreat
240,Chicama,PE,72.95,overcast clouds,-7.8447,-79.1469,Hospedaje Punta Cana PERU
243,Auki,SB,82.99,moderate rain,-8.7676,160.7034,Auki Motel
244,Flinders,AU,71.01,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
246,Cayenne,GF,77.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
250,Chuy,UY,72.54,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
