City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lebu,CL,2021-01-15 23:49:46,-37.6167,-73.65,57.63,77,0,15.9
1,Atuona,PF,2021-01-15 23:49:46,-9.8,-139.0333,77.56,77,13,12.35
2,Cape Town,ZA,2021-01-15 23:49:46,-33.9258,18.4232,66.99,88,20,8.05
3,Rikitea,PF,2021-01-15 23:49:46,-23.1203,-134.9692,79.57,66,16,8.19
4,Basco,PH,2021-01-15 23:49:46,20.4487,121.9702,73.49,79,25,28.12
5,Hilo,US,2021-01-15 23:49:47,19.7297,-155.09,84.2,48,1,11.5
6,Dikson,RU,2021-01-15 23:49:47,73.5069,80.5464,-32.31,79,76,5.17
7,Anjiang,CN,2021-01-15 23:49:47,27.3194,110.1031,45.3,60,15,4.32
8,Bredasdorp,ZA,2021-01-15 23:49:47,-34.5322,20.0403,66.2,68,0,11.5
9,Litovko,RU,2021-01-15 23:49:47,49.2361,135.1742,-7.73,89,0,1.83
10,Kruisfontein,ZA,2021-01-15 23:49:47,-34.0033,24.7314,71.01,69,68,7.0
11,Sitka,US,2021-01-15 23:49:47,57.0531,-135.33,44.6,81,90,13.8
12,Pereslavl-Zalesskiy,RU,2021-01-15 23:49:47,56.7393,38.8563,2.59,94,100,6.87
13,Olenegorsk,RU,2021-01-15 23:49:47,68.15,33.3,17.69,97,87,2.84
14,Mahebourg,MU,2021-01-15 23:49:47,-20.4081,57.7,78.8,94,40,6.91
15,Waipawa,NZ,2021-01-15 23:49:47,-41.4122,175.5153,73.4,68,75,16.11
16,Yellowknife,CA,2021-01-15 23:49:47,62.456,-114.3525,10.4,92,90,13.8
17,Bonthe,SL,2021-01-15 23:49:47,7.5264,-12.505,78.04,87,27,7.78
18,Ouadda,CF,2021-01-15 23:49:48,8.0777,22.4007,66.96,26,1,5.08
19,Bairiki,KI,2021-01-15 23:49:48,1.3292,172.9752,82.4,74,75,14.97
20,Ushuaia,AR,2021-01-15 23:46:22,-54.8,-68.3,64.4,48,40,10.36
21,Ust-Nera,RU,2021-01-15 23:49:48,64.5667,143.2,-24.99,76,100,2.26
22,Najran,SA,2021-01-15 23:49:48,17.4924,44.1277,55.4,44,0,1.14
23,Constitucion,CL,2021-01-15 23:46:16,-35.3333,-72.4167,58.78,65,0,20.94
24,Avarua,CK,2021-01-15 23:48:03,-21.2078,-159.775,86.0,70,33,11.5
25,Orleans,US,2021-01-15 23:49:48,30.0335,-89.9501,55.99,44,1,19.57
26,Dingle,PH,2021-01-15 23:46:04,10.9995,122.6711,78.69,86,35,12.33
27,Lipari,IT,2021-01-15 23:49:49,38.4674,14.954,51.01,89,86,1.01
28,Kapaa,US,2021-01-15 23:49:49,22.0752,-159.319,80.6,74,1,11.5
29,Wanning,CN,2021-01-15 23:49:49,18.8003,110.3967,68.52,86,64,5.57
30,Slave Lake,CA,2021-01-15 23:49:49,55.2834,-114.769,42.8,45,1,23.02
31,Bashmakovo,RU,2021-01-15 23:49:49,53.2133,43.0342,12.65,97,100,10.29
32,Hambantota,LK,2021-01-15 23:49:49,6.1241,81.1185,73.4,100,40,4.61
33,Hermanus,ZA,2021-01-15 23:49:49,-34.4187,19.2345,59.0,90,1,9.62
34,Georgetown,MY,2021-01-15 23:47:31,5.4112,100.3354,78.01,94,20,5.75
35,Aromashevo,RU,2021-01-15 23:49:49,56.8602,68.6375,9.09,93,96,9.15
36,Punta Arenas,CL,2021-01-15 23:49:50,-53.15,-70.9167,55.4,76,40,12.66
37,Ilulissat,GL,2021-01-15 23:46:08,69.2167,-51.1,14.0,62,90,14.97
38,Daliang,CN,2021-01-15 23:49:50,22.8504,113.247,59.0,79,0,3.56
39,Ancud,CL,2021-01-15 23:49:50,-41.8697,-73.8203,55.4,82,90,2.3
40,Garowe,SO,2021-01-15 23:49:50,8.4054,48.4845,66.56,79,0,9.75
